query,date,age,gender
womens_oversized_tracksuit_sustainable,20210102,Under 35,Female
acey_clothes,20210102,55+,Male
livinteriors,20210102,35-54,Female
translation_of_a_sustainable_planet_in_french,20210102,55+,Female
flip_top_glass_water_bottles_with_stoppers,20210102,55+,Male
arket_clothing,20210102,55+,NULL
explaining_transition_management_process_in_sustainable_development,20210102,Under 35,Female
jonson_starbuks_letter_water,20210102,35-54,Female
arket,20210102,35-54,Female
vegan_hand_knit,20210103,55+,Female
supply_chain_sustainabiity_school_uk_reviews,20210103,35-54,Female
sustainable_ngo,20210103,35-54,NULL
planet_organic,20210103,55+,Female
circular_economy_uk,20210103,35-54,Female
examples_of_refuse_on_the_6_rs,20210103,35-54,Female
neonatal_toolkit,20210103,35-54,Female
organisations_boosting_sustainable_material_consumption,20210103,35-54,NULL
organisations_boosting_sustainable_material_consumption_definition,20210103,35-54,NULL
found_vision,20210103,35-54,Female
the_imoirtance_of_signing_up_to_sustainabklity_cant_be,20210103,35-54,Female
nio_share_price,20210103,55+,Male
why_sign_up_with_the_supply_chain_sustainabiity_svhoo,20210103,35-54,Female
make_a_business_more_economically_sustainable,20210104,Under 35,Male
climate_change_business_sitewww2deloittecom,20210104,Under 35,Female
make_a_business_more_economically_sustainable,20210104,Under 35,Male
self_assembly_furniture_uk,20210104,35-54,Male
have_businesses_become_more_or_less_sustainable_pdf,20210104,Under 35,Male
air_source_air_pump_uk,20210104,35-54,Female
sustainability_uk_laws,20210104,Under 35,Female
sustainability_centre,20210104,55+,Female
make_a_business_more_economically_sustainable,20210104,Under 35,Male
long_delivery_not_sustsinable,20210104,35-54,Female
style_thats_sustainable_a_new_fastfashion_formula,20210104,Under 35,Male
ways_to_make_a_business_more_economically_sustainable,20210104,Under 35,Male
environmental_companies_uk,20210104,35-54,Female
critical_evaluation_of_sustainability_framework_uk,20210105,Under 35,Female
uk_csr_reporting_in_the_future,20210105,35-54,Male
sustainaility_of_milks,20210105,Under 35,Female
ethical_clothing_brands,20210105,55+,Female
cruise_ships_unsustainable,20210105,35-54,Female
one_planet_living,20210105,35-54,Male
arket,20210105,35-54,Female
cruise_ships_unsustainable,20210105,35-54,Female
bitcoin_investor,20210105,55+,Female
achieving_sustainable_develop_goal_in_learnercentred_education,20210105,35-54,Female
one_earth_planning_policy_uk,20210105,35-54,Female
utz_certified,20210105,35-54,Female
sustainable_architecture_example,20210105,Under 35,NULL
ecovero,20210105,55+,Female
tourists_share_the_responsibility_of_unsustainnle_cruise_ships,20210105,35-54,Female
new_technologies_in_sustainability,20210105,35-54,Male
sustainable_transport_in_london,20210105,35-54,Female
new_technologies_in_sustainability,20210105,35-54,Male
reasons_why_businesses_dont_recycle,20210105,Under 35,Female
env_accord_nigeria,20210105,35-54,Female
quercusfp,20210105,35-54,Male
anti_rfid_credit_card_holder,20210105,55+,Male
new_technologies_in_sustainability,20210105,35-54,Male
what_does_substanablility_mean,20210106,35-54,Male
cloughjordan_live_stream,20210106,55+,Female
passengers_responsibility_to_susyainability_on_cruise_ships,20210106,35-54,Female
cleaning_products_delivery,20210106,35-54,NULL
tourists_share_the_respondibility_for_unsustainable_destinations_explain,20210106,35-54,Female
delonghi_climaveneta_me3006_chiller,20210106,35-54,Male
rope_making_machine_instructions,20210106,55+,Male
eu_railway_strategy,20210106,55+,Male
nottinghams_top_sustainable_companies,20210106,55+,Male
burnley_football_club,20210106,55+,Male
what_is_unsustainable_tourism,20210106,35-54,Female
tourists_share_the_responsibility_of_unsustainable_destinations,20210106,35-54,Female
how_are_cruise_ships_unsustsinable_destination,20210106,35-54,Female
tourism_as_it_is_now_is_unsustainable,20210107,35-54,Female
how_do_tourists_share_the_responsibility_of_undustainable_destinations,20210107,35-54,Female
quercusfp,20210107,35-54,Male
deloitte_and_mi_tie,20210107,55+,NULL
victorian_large_oak_dining_tables,20210107,55+,Male
mens_knit_wear,20210107,55+,Male
unsustainable_tourism,20210107,35-54,Female
capsule_wardrobe_uk,20210107,55+,NULL
womens_popover_shirt,20210107,55+,Male
sustainablity_management_policy,20210107,35-54,Female
switzerland_news,20210107,Under 35,Male
furrer_p_2002_sustainable_olympic_games_utopia_or_reality_bollettino_della_societ_geografica_italiana_series_xii_volume_vii_4_translated_by_demetrio_v,20210107,35-54,Female
are_black_wagammam_pots_recyclable,20210107,Under 35,Female
packs_of_shirts_for_men,20210107,55+,Female
wessex_petroleum,20210107,35-54,Female
tourism_as_it_is_now_is_unsustainable,20210107,35-54,Female
tourist_impact_on_balearic_islands,20210107,35-54,Female
safer_staffing_in_the_community_health_services,20210107,35-54,Female
algiclear_pro,20210108,55+,Male
mass_tourism_in_the_balearic_islands_an_example_of_concentrated_dependence,20210108,35-54,Female
turl_black_fabric_top,20210108,35-54,Male
majorca_water_demand_by_tourists,20210108,35-54,Female
the_new_years_honours_list_2021,20210108,55+,Male
ikea_tiny_homes,20210108,35-54,Male
fabric_outlet,20210108,55+,Male
hire_a_christmas_tree,20210108,55+,Female
sustainable_clothing_brands_uk,20210108,Under 35,NULL
is_mass_tourism_undustainabke,20210108,35-54,Female
are_shell_fish_needed_in_the_eu,20210108,55+,Male
what_is_sustainability_sustainability_and_sustainable_resources_ks3_revision_bbc_bitesize,20210108,35-54,Female
denim_shirts_for_men,20210108,55+,Male
renewable_powered_buildings_for_agriculture,20210108,35-54,Male
meat_and_fish_delivery_london,20210108,35-54,Female
multi_level_perspectives,20210108,Under 35,Female
sustainable_clothing_brands_uk,20210108,Under 35,NULL
hire_a_christmas_tree_suffolk,20210108,35-54,Male
sustainable_furniture,20210109,55+,Female
industry_50,20210109,NULL,Female
arket_clothing,20210109,55+,NULL
sustainable_beauty_brands,20210109,35-54,Female
social_and_environmental_impacts_on_a_bottom_up_development,20210109,35-54,Male
sustainable_beauty_brands,20210109,35-54,Female
kelp_farming_opportunities_uk,20210109,Under 35,NULL
what_is_the_hydrological_plan_of_balearics,20210109,35-54,Female
tour_operators_share_the_responsibility_for_unsustainable_destinations,20210109,35-54,Female
timber_supplies_carmarthen,20210110,55+,Male
use_less_blog,20210110,35-54,Female
sustainability_in_the_mice_sector_fenech_strick_2014_full_version,20210110,55+,Female
sustainability_in_the_mice_sector,20210110,55+,Female
bamboo_socks_for_men_uk,20210110,55+,Male
brundtland_commission_1987_sustainable_develoment_norway_world_commission_on_environment_and_development,20210110,55+,Female
bazaar_the_best_sustainable_beauty_buys,20210110,35-54,Female
guardian_40_best_sustainable_beauty,20210110,35-54,Female
hydro_cotton_essex,20210110,55+,Male
bore_place,20210110,35-54,NULL
environment_econmy_and_society_fitting_them_together_into_sustainable_development_sustainable_development_researh_output,20210110,55+,Female
yurts,20210110,55+,Male
arket,20210111,35-54,Female
1_what_regulations_and_codes_of_practice_govern_the_construction_industrys_approach_to_sustainability,20210111,35-54,Female
how_to_sell_whole_chickens_as_meat_uk,20210111,35-54,NULL
sustainability_construction_uk,20210111,35-54,Female
ncneancom,20210111,55+,NULL
how_breeam_asset_sustainability,20210111,35-54,Female
childrens_slippers_size_1,20210111,35-54,Male
how_breeam_asset_sustainability,20210111,35-54,Female
cowshed_sustainability,20210111,35-54,Female
terra_carta,20210111,35-54,Female
does_eon_next_use_smart_meters,20210111,55+,Female
daikin_heat_pump,20210111,35-54,Male
conference_on_sustainable_packaging,20210111,35-54,Male
when_was_the_first_sustainable_toy_made,20210111,35-54,Female
prince_of_wales_to_unveil_earth_charter_to_boost_green_business_httpswwwbloombergcomnewsarticles20210110princeofwalestounveilearthchartertoboostgreenbusiness_,20210111,55+,Female
sustainability_technology,20210112,35-54,Male
thought_socks,20210112,55+,Female
small_single_storey_steel_car_parks_next_railway_station,20210112,NULL,Male
chilled_foodassociatin,20210112,35-54,Female
robertson_rp120,20210112,55+,Male
spalding_today,20210112,55+,Female
sustainability_technology,20210112,35-54,Male
pretty_cotton_tops_for_women,20210112,55+,Female
mountain_hydrological_model,20210112,Under 35,Male
oversized_cable_knit_cardigan_woman,20210112,55+,Male
use_less,20210112,35-54,NULL
home_heating_alternitives,20210112,55+,Male
bitcoin_price_today_in_gbp,20210112,35-54,Male
msc_and_swordfish,20210113,35-54,Male
agricultural_zoning_program_brazil,20210113,Under 35,Male
green_ocean_farming_uk,20210113,Under 35,Male
whole_life_cycle_for_sustanbility_in_construction,20210113,35-54,Female
phil_hpwood_ricardo,20210113,35-54,Female
sustainable_polar_fleece,20210113,35-54,Female
what_is_sustainability,20210113,Under 35,NULL
global_apparel_production_advantages,20210113,Under 35,Female
sustainability_technology,20210113,35-54,Male
how_can_we_provide_food_for_the_earleyhub,20210113,35-54,Female
avfuel_and_neste,20210113,35-54,Female
plastic_eco_bricks_printable_instruction_sheet,20210113,55+,NULL
best_economical_fan_heater,20210113,Under 35,Female
words_for_environmental_sustainability_examples,20210114,35-54,Female
define_sustainable,20210114,35-54,Male
difine_sustainable_development,20210114,35-54,Male
building_sustainable_transport_into_new_developments_2008_is_it_up_to_date,20210114,55+,Female
department_of_transport_advice_to_planners_about_sustainable_transport,20210114,55+,Female
prees_heath_nurseries,20210114,55+,Male
goat_stew_recipe,20210114,55+,Female
david_waller_norway,20210114,55+,Male
english_goat_stew_recipe,20210114,55+,Female
edie,20210114,35-54,NULL
eatlancet_diet,20210114,55+,Male
aspiga,20210114,55+,Female
what_is_sustainable_development_in_planning_terms_in_rural_areas_uk,20210114,55+,Female
palm_oil_in_2017,20210114,Under 35,Female
opinion_on_use_of_palm_oil_in_201718,20210114,Under 35,Female
review_air_heat_pumps,20210114,55+,Female
words_for_environmental_sustainability,20210114,35-54,Female
which_luxury_brands_are_sustainable,20210114,35-54,Female
palm_oil_in_2018,20210114,Under 35,Female
nibe,20210115,55+,Male
what_are_the_6_rs,20210115,35-54,Female
eco_forest_hotels_in_paragona_chile,20210115,55+,Male
eco_forest_hotels_in_patagonia_chile,20210115,55+,Male
what_is_esg_ref_company_accounts,20210115,55+,Male
what_is_suitable_fishing,20210115,35-54,Male
charitable_foundation_working_groups,20210115,55+,Female
agri_investment_funds,20210115,55+,Female
english_mackerel_fishing_history_uk,20210115,55+,Male
sea_to_see_frames_heat,20210115,55+,Female
vh_gseo_share_offer,20210115,55+,Male
best_uk_breaks_in_2021,20210115,35-54,Female
found_and_vision,20210115,35-54,Female
vh_global_sustainable_energy,20210116,55+,Female
sustainability,20210116,Under 35,Female
simec_atlantis,20210116,Under 35,Male
the_contribution_of_bikesharing_to_sustainable_mobility_in_europe,20210116,Under 35,Female
vh_global_sustainable_energy,20210116,55+,Female
economical_electric_heaters,20210116,55+,Male
sustainable_fabric_suppliers,20210116,Under 35,Female
oge_knitwear_designs,20210116,55+,Female
vh_global_sustainable_energy_opportunities_plc_initial_public_offering_now_open_for_applications,20210116,55+,Male
is_victory_hill_gseo_worth_buying,20210116,55+,Male
ea_sludge_strategy,20210116,35-54,Male
waitrose_about_their_farming_and_envronmen_t,20210117,55+,Female
vegan_eye_lash_dye_uk,20210117,35-54,Female
where_are_ralph_lauren_clothes_made,20210117,35-54,NULL
sustaunable_boy_clothes_couk,20210117,35-54,Female
innovations_in_packaging,20210117,55+,Female
utz_or_fair_trade,20210118,35-54,Female
lake_naivasha_and_the_cut_flower_industry,20210118,35-54,Female
kebony_decking_uk,20210118,35-54,Female
bottom_trawling_scallops_uk,20210118,55+,Male
altera_infrastructure_uk,20210118,35-54,Male
the_hollies_centre_for_practical_sustainability,20210118,Under 35,Female
who_are_the_leaders_in_circular_economy,20210118,35-54,Female
what_are_the_six_rs,20210118,35-54,Male
rimworls_sustainable_meat,20210118,35-54,Male
sustainable_banks,20210118,Under 35,Female
energy_bill_reduction_when_working_from_home,20210118,35-54,Male
jll_greening_the_city,20210118,Under 35,Male
no_heat_from_multifuel_stove_using_coal,20210118,55+,Female
utz_certified,20210118,35-54,Male
environment_and_sustainability_legilation_uk,20210118,Under 35,Female
leading_european_influencers_on_sustainability,20210119,35-54,Female
seasonal_food_and_sustainability_ks2,20210119,35-54,Male
breeam,20210119,Under 35,Male
asos_substanability,20210119,35-54,Female
vh_global_sustainable_energy_opportunities_trust_launch,20210119,35-54,Female
discuss_the_effectiveness_and_suitability_of_various_options_for_managing_osteoarthritis_including_alternative,20210119,55+,Male
lawlight,20210119,55+,Male
culthread,20210119,35-54,NULL
giki,20210119,55+,NULL
professor_vian_ahmed,20210119,35-54,Male
bbc_food_sustainable_foor,20210119,35-54,Male
sustainable_furniture,20210119,55+,Female
two_way_that_with_the_epping_fores_is_sustainable_mange,20210119,35-54,Male
home_heating_alternatives,20210120,55+,Male
amtrust_europe_limited_csr,20210120,55+,Male
teena_brandon_death_photo,20210120,35-54,Female
games_workshop_limited_csr,20210120,55+,Male
wikaniko,20210120,35-54,Female
by_then_pressure_from_international_conservation_groups_over_deforestation_was_growing_and_wwf_teamed,20210120,Under 35,Female
abdeen_m_omer,20210120,55+,Male
water_bottle,20210120,35-54,Female
childrens_snowsuits,20210120,55+,Female
zola_amour,20210120,55+,Male
well_seasoned_wood_bristol,20210120,55+,Female
dasher_trainers,20210120,NULL,Female
synthetic_soil,20210120,55+,Male
highlands_and_islands_airports_sustainable,20210121,35-54,Female
youtube_exercises_for_weak_legs,20210121,55+,Female
sustainable_sites_initiative,20210121,35-54,Female
what_is_sustainability,20210121,55+,Male
foodworks,20210121,35-54,Male
interactive_sustainability_games_for_kids,20210121,55+,Female
veganpeanut,20210121,55+,Female
volvo_purchasing_boss_quits,20210121,35-54,Male
how_workers_are_motivated_by_food_security,20210121,35-54,Male
school_sports_equipment_sustainability,20210122,35-54,Female
sustainable_pastry_commodities,20210122,Under 35,Female
savills_sustainble_office_space,20210122,Under 35,Male
sustainable_pastry_commodities,20210122,Under 35,Female
cork_yoga_mat_uk,20210122,35-54,Male
ncnean_distilleries,20210122,55+,Male
air_bp_in_france,20210122,35-54,Female
teaching_sustainability_to_young_people_sports_gear,20210122,35-54,Female
jll_sustainable_prime_office_space,20210122,Under 35,Male
nio,20210122,55+,Male
resumption_in_favour_of_sustainable_development,20210122,35-54,Male
vildnis,20210122,55+,Female
community_clothing,20210122,Under 35,Male
uk_news,20210122,55+,Male
resources_sports_education_sustainability,20210122,35-54,Female
vildnis,20210122,35-54,NULL
vt_gravis_clean_energy_fund,20210123,55+,Male
south_asia_sustainable_development,20210123,35-54,Male
baam_eco_clothing,20210123,35-54,Female
london_gin_delivery_box,20210123,55+,NULL
plastic_chairs,20210123,55+,Female
self_sustaining_homes_uk,20210123,35-54,Female
green_architecture,20210124,35-54,Female
ecosmart_uk,20210124,55+,Male
aegon_workplace_retirement_default_plan,20210124,Under 35,Male
thought,20210124,Under 35,Male
cntravellercom,20210124,55+,Male
eco_resin_ary,20210124,35-54,Female
is_groundwater_extraction_sustainable,20210124,Under 35,Male
woofing,20210124,35-54,Female
www_ardagh_group_banbury,20210124,35-54,Male
describe_a_minimum_of_two_sustainable_ways_of_working,20210124,35-54,Male
thought_clothing,20210124,35-54,Female
velux_sustainability,20210124,35-54,Female
mcnean_whisky,20210124,55+,Male
iss_ther_an_alternative_to_gas_central_heating,20210124,55+,Male
vh_global_sustainable_energy_ireland,20210124,35-54,Male
kiln_dried_logs_bristol,20210124,55+,Male
ncnean_whisky,20210124,55+,Female
abdeen_m_omer,20210124,55+,Male
victoria_hill_energy_oppotunity_trust,20210124,55+,Male
abdeen_m_omer,20210124,55+,Male
working_organic_farm_woolf,20210124,35-54,Female
medfish,20210124,Under 35,Male
wilder_farm,20210124,35-54,Male
what_is_accoya,20210125,55+,Male
sustainable_sovereign_debt_fund,20210125,35-54,Male
mcnean_whisky,20210125,55+,Male
bepure_beauty,20210125,35-54,Female
victoria_hill_energy_oppotunity_trust,20210125,55+,Male
alex_opoku_vian_ahmed_book,20210125,35-54,Male
enegry_poverty_iea,20210126,Under 35,Female
sustainsble_issues_in_jewelry_industry,20210126,Under 35,Female
sustainability_and_banking,20210126,55+,Male
atherton_active_investor_liontrust,20210126,55+,Male
agricultural_bill_2021_um,20210126,55+,Male
new_winery_waste_water_uk,20210126,35-54,Male
best_ethical_cotton_underwear_for_women_uk,20210126,55+,Female
the_community_clothing_company,20210126,55+,Male
airbus_and_air_bp_refuelling,20210126,35-54,Female
jack_up_offshore_aquaculture,20210126,55+,Male
cedo_telford,20210126,35-54,Male
thought_clothing_uk_women_clothing,20210126,55+,Female
nibe,20210126,55+,Male
air_bp_and_klm,20210126,35-54,Female
aquatraz_fish_farming,20210126,55+,Male
are_grant_aerona_air_source_heat_pumps_any_good,20210126,55+,Female
air_bp_refuelling_klm_with_saf,20210126,35-54,Female
glass_panel_facade_sustainable,20210127,55+,Female
the_refill_shop_bridgnorth,20210127,55+,Male
metsa,20210127,35-54,Male
qatar_world_cup_progress,20210127,55+,Male
photos_asda_delivery_vans,20210127,55+,Male
reco_shop,20210127,35-54,Female
yora_pet_food,20210127,35-54,Female
ecuity,20210127,55+,Male
velocys,20210127,55+,Male
amrc_cymru,20210127,35-54,Female
blancoportela_n_benayas_j_pertierra_l_lozano_r_2017,20210127,55+,NULL
locavore,20210127,55+,Female
sustainable_toy_shops_cardiff_area,20210127,55+,Female
asda_rose_and_oud_candle,20210127,55+,Female
creative_carbon_scotland,20210127,35-54,Female
what_materials_do_zero_waste_daniel_use,20210128,35-54,Female
unstatainability,20210128,35-54,Female
why_are_rainforests_destroyed_because_of_palm_oil,20210128,35-54,Female
flexxolutions,20210128,55+,Male
